Who initially entered the data,Curator choses that,,,,,,,,,,,HH:MM:SS,int,.,,"float, in GB",Baker Cluster / CSD3 / cloud computing / local laptop or desktop,,"Needs to match the list ""TDP_cpu"" or ""TDP_gpu""","otherwise, average value",,in h ,in W,in kW,in kWh,,in kgCO2e,,,,,Total impact in kgCO2e,,,,,,,,,,,,,,,
Jason/Loïc,,metagenome assembly,Megahit,,Benchmark,,,,,Same,,15:36:00,4,CPU,Used,12,,,Xeon E5-4650L,,,15.60,14.4,0.062,1.614,,0.767,0.067,0.807,3.055,4.382,1.6,1.2,1.9,1.0,0.8,0.8,0.6,0.8,0.5,0.5,0.4,0.6,0.2,0.1,0.2,0.0
,,Metagenoma assembly for 100 samples,Megahit,,,,,,,,,.,.,.,,.,,,.,,,,,6.197,161.444,,76.686,6.727,80.722,305.522,438.206,155.1,119.9,188.9,100.7,79.4,76.8,63.4,75.7,53.3,52.8,44.8,63.4,22.6,7.6,17.0,2.3
Jason/Loïc,,metagenome assembly,MetaVelvet k101,,Benchmark,,,,,Same,,1:06:00,8,CPU,Used,130,,,Xeon E5-4650L,,,1.10,14.4,0.163,0.300,,0.143,0.013,0.150,0.568,0.815,0.3,0.2,0.4,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0
Jason/Loïc,,metagenome assembly,MetaVelvet k21,,Benchmark,,,,,Same,,7:54:00,8,CPU,Used,267,,,Xeon E5-4650L,,,7.90,14.4,0.214,2.829,,1.344,0.118,1.415,5.354,7.680,2.7,2.1,3.3,1.8,1.4,1.3,1.1,1.3,0.9,0.9,0.8,1.1,0.4,0.1,0.3,0.0
,,same for 100 samples,MetaVelvet k21,,,,,,,,,.,.,.,,.,,,.,,,,,21.446,282.934,,134.394,11.789,141.467,535.432,767.963,271.8,210.2,331.0,176.4,139.1,134.6,111.2,132.7,93.4,92.5,78.5,111.2,39.6,13.3,29.7,4.0
Jason/Loïc,ABySS2.0_assembly,De novo human genome assembly,ABySS2.0,,Benchmark,,,,,"To assess the performance of ABySS 2.0, we compared it with other leading assemblers for large genomes: ABySS 1.0 (Simpson et al. 2009), BCALM 2 (Chikhi et al. 2016), DISCOVAR de novo, MEGAHIT (Li et al. 2016), Minia (Chikhi and Rizk 2013), SGA (Simpson and Durbin 2011), and SOAPdenovo2 (Luo et al. 2012).  We conducted our comparison using a recent, publicly available human short-read data set provided by the Genome in a Bottle (Zook et al. 2016) project. The NIST HG004 (Coriell cell line NA24143) data were chosen for its deep 70× coverage of Illumina short-read (paired-end 250 bp) data and the availability of sequences from other platforms, including a 175× physical coverage mate-pair data set (after trimming), 10x Genomics Chromium data, and BioNano optical mapping data. .All assemblies from Figure 3 were benchmarked on a server with 2.5 TB of RAM and four Xeon E7-8867 v3 CPUs running at 2.50 GHz, providing a total of 64 cores. from - https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5411771/ -> Assembled GIAB HG004",,20:00:00,64,CPU,Used,34,,,Xeon E7-8867 v3,,,20.00,10.3,0.673,22.467,,10.672,0.936,11.234,42.517,60.982,21.6,16.7,26.3,14.0,11.0,10.7,8.8,10.5,7.4,7.3,6.2,8.8,3.1,1.1,2.4,0.3
Jason/Loïc,MEGAHIT_assembly,De novo human genome assembly,MEGAHIT,,Benchmark,,,,,Same,,26:00:00,64,CPU,Used,197,,,Xeon E7-8867 v3,,,26.00,10.3,0.733,31.843,,15.126,1.327,15.922,60.262,86.432,30.6,23.7,37.3,19.9,15.7,15.2,12.5,14.9,10.5,10.4,8.8,12.5,4.5,1.5,3.3,0.4
Jonathan,eQTL_LIMIX_1,LIMIX cis-eQTL calling Part I,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements. (3460 Chunks)",,9462:26:18,1,CPU,Requested,150,CSD3,1.15,Xeon Gold 6142,,,9462.44,9.4,0.065,1031.098,,489.772,42.962,515.549,"1,951.282","2,798.695",990.5,766.0,"1,206.4",643.0,506.9,490.7,405.2,483.6,340.5,337.2,285.9,405.2,144.4,48.5,108.4,14.4
Jonathan,eQTL_LIMIX_2,LIMIX cis-eQTL calling Part II,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements (65 Chunks)",,232:19:11,1,CPU,Requested,160,CSD3,1.15,Xeon Gold 6142,,,232.32,9.4,0.069,26.761,,12.711,1.115,13.380,50.642,72.636,25.7,19.9,31.3,16.7,13.2,12.7,10.5,12.6,8.8,8.8,7.4,10.5,3.7,1.3,2.8,0.4
Jonathan,eQTL_LIMIX_3,LIMIX cis-eQTL calling Part III,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements (1 Chunk)",,10:08:59,1,CPU,Requested,300,CSD3,1.15,Xeon Gold 6142,,,10.15,9.4,0.121,2.053,,0.975,0.086,1.027,3.885,5.573,2.0,1.5,2.4,1.3,1.0,1.0,0.8,1.0,0.7,0.7,0.6,0.8,0.3,0.1,0.2,0.0
Jonathan,,all together,,,,,,,,,,9704:54:28,1,CPU,,.,,,.,,,,,0.989,1091.755,,518.584,45.490,545.878,"2,066.071","2,963.336","1,048.7",811.1,"1,277.4",680.8,536.7,519.6,429.1,512.0,360.5,357.0,302.7,429.1,152.8,51.3,114.7,15.3
Jonathan,,Same with exact usage,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements. (3460 Chunks)",,9462:26:18,1,CPU,Used,40.71,,,Xeon Gold 6142,,,9462.44,9.4,0.025,387.779,,184.195,16.157,193.890,733.846,"1,052.544",372.5,288.1,453.7,241.8,190.6,184.5,152.4,181.9,128.0,126.8,107.5,152.4,54.3,18.2,40.8,5.4
Jonathan,,,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements (65 Chunks)",,232:19:11,1,CPU,Used,56.51,,,Xeon Gold 6142,,,232.32,9.4,0.030,11.804,,5.607,0.492,5.902,22.338,32.040,11.3,8.8,13.8,7.4,5.8,5.6,4.6,5.5,3.9,3.9,3.3,4.6,1.7,0.6,1.2,0.2
Jonathan,,,LIMIX HipSci Pipeline,,,,,,,"Pipeline developed by Marc Jan Bonder for fast eQTL mapping in the HIPSCI project. Splt into >3500 jobs to get around the 12h limit on CSD3, in three parts with different memory requirements (1 Chunk)",,10:08:59,1,CPU,Used,220.9,,,Xeon Gold 6142,,,10.15,9.4,0.092,1.554,,0.738,0.065,0.777,2.940,4.217,1.5,1.2,1.8,1.0,0.8,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.2,0.0
Jonathan,,eQTL all together,LIMIX HipSci Pipeline,,,,,,,,,9704:54:28,1,CPU,,.,,,.,,,,,0.147,401.137,,190.540,16.714,200.569,759.124,"1,088.801",385.3,298.0,469.3,250.1,197.2,190.9,157.6,188.1,132.5,131.2,111.2,157.6,56.2,18.9,42.2,5.6
Sergio,,MD simulation,AMBER,,not,,,,,"60.000 atoms, explicit solvent, 1ns simulation with periodic boundary conditions. ",,0:16:44,1,GPU,Requested,1,,,Tesla T4,,,0.28,70,0.070,0.033,,0.016,0.001,0.016,0.062,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sergio,,MD simulation,AMBER,,not,,,,,"same, 3 replicates of 100ns",,83:40:00,.,.,,.,,,.,,,,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
Loïc,,MD simulation,AMBER18,,Benchmark,,,,,"MD simulation on Satellite Tobacco Mosaic Virus - STMV (1,066,628 atoms, periodic; 4fs timestep, 9A cutoff). Time for 100ns. Performances with a GPU V100: 32ns/day -> 2700 sec/ns -> 270k sec/100ns from https://ambermd.org/GPUPerformance.php
",,75:00:00,1,GPU,,0,,,Tesla V100,,,75.00,300,0.300,37.575,,17.848,1.566,18.788,71.108,101.989,36.1,27.9,44.0,23.4,18.5,17.9,14.8,17.6,12.4,12.3,10.4,14.8,5.3,1.8,3.9,0.5
Loïc,,MD simulation,NAMD 2.13,,Benchmark,,,,,"MD simulation on STMV (1,066,628 atoms, periodic; 2fs timestep with rigid bonds, 12A cutoff with PME every 2 steps). Time for 100ns. Performances with a GPU V100: 6ns/day -> 14,400 sec/ns -> 1,440,000 sec/100ns from https://www.ks.uiuc.edu/Research/namd/benchmarks/ (NAMD slower due to slightly different settings)",,400:00:00,1,GPU,,0,,,Tesla V100,,,400.00,300,0.300,200.400,,95.190,8.350,100.200,379.243,543.943,192.5,148.9,234.5,125.0,98.5,95.4,78.8,94.0,66.2,65.5,55.6,78.8,28.1,9.4,21.1,2.8
Loïc,,MD simulation,GROMAC,,,,,,,,,,,,,,,,,,,,,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,
Yu,,PGS level Calculation,MLP,,,,,,,"PGS model training using MLP for mean corpuscular volume (MCV) on UK biobank;
Model structure:'activation': 'relu', 'dropout': 0.0, 'nb_layers': 5, 'nb_neurons': 32, 'optimizer': 'adagrad', 'weight_decay': 0.0;
5 MLP models were trained;
Number of samples: 407157; Number of variants:739
(Note the model struture/hyperparameters were optimized beforehand, which repeated this unit for at least hundreds of times)",,0:09:14,1,GPU,Requested,24,,,Tesla P100 PCIe,,,0.15,250,0.259,0.067,,0.032,0.003,0.033,0.126,0.181,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,0:09:14,1,GPU,Used,8.3,,,Tesla P100 PCIe,,,0.15,250,0.253,0.065,,0.031,0.003,0.033,0.123,0.177,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yu,,PGS level Calculation,CNN,,,,,,,"PGS model training using CNN for mean corpuscular volume (MCV) on UK biobank;
Model structure: 'activation': 'linear', 'batch_norm': True, 'dropout': 0.1, 'filters': 64, 'nb_cnn_layers': 1, 'nb_layers': 2, 'nb_neurons': 16, 'optimizer': 'rmsprop', 'size_window': 10, 'stride': 'one', 'weight_decay ': 0.0;
5 CNN models were trained;
Number of samples: 407157; Number of variants:739
(Note the model struture/hyperparameters were optimized beforehand,  which repeated this unit for at least hundreds of times)",,0:16:52,1,GPU,Requested,24,,,Tesla P100 PCIe,,,0.28,250,0.259,0.122,,0.058,0.005,0.061,0.230,0.330,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,0:16:52,1,GPU,Used,8.9,,,Tesla P100 PCIe,,,0.28,250,0.253,0.119,,0.056,0.005,0.059,0.225,0.323,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yu,,PGS level Calculation,"ElasticNet and
Bayesian Ridge",,,,,,,"PGS model training using EN, BR for mean corpuscular volume (MCV) on UK biobank;
One EN model and one BR model were trained;
Number of samples: 407157; Number of variants:5000",,2:53:55,20,CPU,Requested,12.03,,,Xeon Gold 6142,,,2.90,9.4,0.192,0.929,,0.441,0.039,0.465,1.759,2.522,0.9,0.7,1.1,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
,,real usage,,,,,,,,,,2:53:55,20,CPU,Used,7.1,,,Xeon Gold 6142,,,2.90,9.4,0.190,0.920,,0.437,0.038,0.460,1.742,2.498,0.9,0.7,1.1,0.6,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Jason/Loïc,,Protein docking,AutoDock Vina,,benchmark,,,,,Average computing times (in seconds per ligand) on 4 DUD systems. Values for 1m ligands. from https://journals.plos.org/ploscompbiol/article?id=10.1371/journal.pcbi.1003571,,40972:13:20,1,CPU,,0.05,,,Xeon X5660,,,40972.22,15.8,0.016,1084.648,,515.208,45.194,542.324,"2,052.621","2,944.045","1,041.9",805.8,"1,269.0",676.4,533.2,516.2,426.3,508.7,358.2,354.7,300.8,426.3,151.9,51.0,114.0,15.2
Jason/Loïc,,Protein docking,Glide,,,,,,,,,1027:46:40,1,CPU,,0.05,,,Xeon X5660,,,1027.78,15.8,0.016,27.208,,12.924,1.134,13.604,51.489,73.851,26.1,20.2,31.8,17.0,13.4,12.9,10.7,12.8,9.0,8.9,7.5,10.7,3.8,1.3,2.9,0.4
Jason/Loïc,,Protein docking,rDock,,,,,,,,,12250:00:00,1,CPU,,0.05,,,Xeon X5660,,,12250.00,15.8,0.016,324.291,,154.038,13.512,162.146,613.699,880.220,311.5,240.9,379.4,202.2,159.4,154.3,127.4,152.1,107.1,106.0,89.9,127.4,45.4,15.2,34.1,4.5
Jason,,GWAS ,SAIGE v 0.29,,Benchmark,,,,,"The actual computation time and memory usage of association tests for the full UK Biobank data for CAD (Benchmarks for UK Biobank data coronary artery disease (PheCode 411)) are given in Table 1. 71 million variants that have an imputation info ≥ 0.3 for 408,458 samples. https://www.ncbi.nlm.nih.gov/pubmed/30104761",,517:22:48,1,CPU,Used,10.32,,,Ryzen 7 3800X,,,517.38,13.1,0.017,14.662,,6.964,0.611,7.331,27.746,39.796,14.1,10.9,17.2,9.1,7.2,7.0,5.8,6.9,4.8,4.8,4.1,5.8,2.1,0.7,1.5,0.2
Jason ,,GWAS ,BOLT-LMM v2.3.2,,Benchmark,,,,,,,360:37:48,1,CPU,Used,10.98,,,Ryzen 7 3800X,,,360.63,13.1,0.017,10.368,,4.925,0.432,5.184,19.620,28.141,10.0,7.7,12.1,6.5,5.1,4.9,4.1,4.9,3.4,3.4,2.9,4.1,1.5,0.5,1.1,0.1
Jason,,GWAS ,BOLT-LMM_INF_MODE v2.3.2 ,,,,,,,,,360:00:00,1,CPU,Used,10.98,,,Ryzen 7 3800X,,,360.00,13.1,0.017,10.350,,4.916,0.431,5.175,19.586,28.092,9.9,7.7,12.1,6.5,5.1,4.9,4.1,4.9,3.4,3.4,2.9,4.1,1.4,0.5,1.1,0.1
Loic,,Astrophysics1,,,,,,,,,,0:54:20,24,CPU,,80,,,Xeon E5-4620,,,0.91,11.9,0.315,0.476,,0.226,0.020,0.238,0.901,1.292,0.5,0.4,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.0,0.1,0.0
Loic,,NLP,BERT,,Strubell,,,,,,,79:00:00,64,GPU,,0,,,Tesla V100,,,79.00,300,19.200,2533.056,,"1,203.202",105.544,"1,266.528","4,793.632","6,875.438","2,433.3","1,881.8","2,963.7","1,579.6","1,245.3","1,205.5",995.5,"1,188.0",836.4,828.3,702.4,995.5,354.6,119.1,266.2,35.5
,,,,,,,,,,,"1,929.00",0:32:09,,,,,,,,,,0.54,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
,,,,,,,,,,,"30,864.00",8:34:24,,,,,,,,,,8.57,#N/A,#N/A,#N/A,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jason,geant4_1e7_1phi,Particle physics simulations,GEANT4,,,1e7 particles,Phi CPU,1,1 (60 cores),"[For 1e7 particles, using 60 Phi cores (1 Phi CPU)] Simulation of the passage of particles through matter using Geant4. Computing time in minutes of TestEm12 Geant4 example for 10^7 generated source particles. Estimated from figure 4, which Ignores hyperthreading just using the available cores  (10 Xeon and 60 Phi cores). No mention of memory used so i estimate with the memory from the following statements (The simulations have been performed on a machine having two Intel Xeon CPUs E5-2690v2 each capable of a theoretical 240.1 GFLOPS of double precision floating point instructions with 59.7GB/sec memory bandwidth, 128 GB of memory, and four Xeon Phi hardware accelerators 5110P each capable of theoretical 1010.5 GFLOPS of double precision floating point instructions with 320 GB/sec memory band- width and 8 GB of memory). so, I take the minimum of the two memories available, 2x 128GB (256GB in total) available for the Xeon, and 4 x 8GB (32 GB) in total available for the Phi. Therefore memory estimated to be 32GB as it is not directly mentioned in the paper and memory usage should be similar between the two CPUs. from-  http://dx.doi.org/10.1155/2015/980752, for detials about testem12 see https://iopscience.iop.org/article/10.1088/1742-6596/219/3/032044/pdf",,3:35:00,60,CPU,Available? ,32,,,Xeon Phi 5110P,,,3.58,3.8,0.237,1.418,,0.673,0.059,0.709,2.683,3.848,1.4,1.1,1.7,0.9,0.7,0.7,0.6,0.7,0.5,0.5,0.4,0.6,0.2,0.1,0.1,0.0
Jason,,Particle physics simulations,GEANT4 10.0 xeon,,,,,,,,,7:44:00,10,CPU,Available? ,32,,,Xeon E5-2690 v2,,,7.73,13.0,0.142,1.833,,0.871,0.076,0.916,3.469,4.975,1.8,1.4,2.1,1.1,0.9,0.9,0.7,0.9,0.6,0.6,0.5,0.7,0.3,0.1,0.2,0.0
Loïc,geant4_1e7_4phi,Particle physics simulations,GEANT4,,,1e7 particles,Phi CPU,4,4 (240 cores),"For 1e7 particles, using 240 Phi cores (4 Phi CPUs)",,1:40:00,240,CPU,,32,,,Xeon Phi 5110P,,,1.67,3.8,0.912,2.538,,1.206,0.106,1.269,4.803,6.889,2.4,1.9,3.0,1.6,1.2,1.2,1.0,1.2,0.8,0.8,0.7,1.0,0.4,0.1,0.3,0.0
Loïc,geant4_1e8_4phi,Particle physics simulations,GEANT4,,,1e8 particles,Phi CPU,4,4 (240 cores),"For 1e8 particles, using 240 Phi cores (4 Phi CPUs)",,16:40:00,240,CPU,,32,,,Xeon Phi 5110P,,,16.67,3.8,0.912,25.382,,12.056,1.058,12.691,48.033,68.893,24.4,18.9,29.7,15.8,12.5,12.1,10.0,11.9,8.4,8.3,7.0,10.0,3.6,1.2,2.7,0.4
Loïc,geant4_1e8_4phi_PSF,Particle physics simulations,GEANT4,,,1e8 particles,Phi CPU,4,4 (240 cores),Same but with PSF (=2),2,16:40:00,240,CPU,,32,,,Xeon Phi 5110P,,,16.67,3.8,0.912,50.764,,24.113,2.115,25.382,96.066,137.787,48.8,37.7,59.4,31.7,25.0,24.2,20.0,23.8,16.8,16.6,14.1,20.0,7.1,2.4,5.3,0.7
Loïc,geant4_1e8_2xeon,Particle physics simulations,GEANT4,,,1e8 particles,Xeon E5,2,2 (20 cores),"For 1e8 particles, using 20 Xeon E5 cores (2 Intel Xeon E5 CPUs)",,52:42:00,20,CPU,,32,,,Xeon E5-2690 v2,,,52.70,13.0,0.272,23.931,,11.367,0.997,11.966,45.289,64.957,23.0,17.8,28.0,14.9,11.8,11.4,9.4,11.2,7.9,7.8,6.6,9.4,3.4,1.1,2.5,0.3
Loïc,geant4_em_1e7_1_xeon,Electro-magnetic simulations,GEANT4,Methods,,Xeon_vs_Phi,,,,"[Xeon] Comparison between Xeon and Phi (figure 4 of the article) on 1e7 particles, 1 Xeon vs 1 phi",,7:40:00,10,CPU,,128,,,Xeon E5-2690 v2,,,7.67,13.0,0.178,2.275,,1.081,0.095,1.137,4.305,6.175,2.2,1.7,2.7,1.4,1.1,1.1,0.9,1.1,0.8,0.7,0.6,0.9,0.3,0.1,0.2,0.0
Loïc,geant4_em_1e7_1_phi,Electro-magnetic simulations,GEANT4,Methods,,Xeon_vs_Phi,,,,[phi] same comparison as above,,3:30:00,60,CPU,,8,,,Xeon Phi 5110P,,,3.50,3.8,0.228,1.333,,0.633,0.056,0.666,2.522,3.617,1.3,1.0,1.6,0.8,0.7,0.6,0.5,0.6,0.4,0.4,0.4,0.5,0.2,0.1,0.1,0.0
Loïc,geant4_em_1e8_1core,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,1,,,[1 thread],,300:00:00,1,CPU,,8,,,Xeon Phi 5110P,,,300.00,3.8,0.007,3.372,,1.602,0.140,1.686,6.381,9.152,3.2,2.5,3.9,2.1,1.7,1.6,1.3,1.6,1.1,1.1,0.9,1.3,0.5,0.2,0.4,0.0
Loïc,geant4_em_1e8_3cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,3,,,"[10 thread] 1e8 particles, comparing the impact of the number of threads (figure 7 and table 2 in the paper)",,30:00:00,3,CPU,,8,,,Xeon Phi 5110P,,,30.00,3.8,0.014,0.713,,0.339,0.030,0.356,1.349,1.935,0.7,0.5,0.8,0.4,0.4,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.1,0.0,0.1,0.0
Loïc,geant4_em_1e8_5cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,5,,,[20 threads],,15:01:48,5,CPU,,8,,,Xeon Phi 5110P,,,15.03,3.8,0.022,0.545,,0.259,0.023,0.273,1.032,1.480,0.5,0.4,0.6,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.1,0.0
Loïc,geant4_em_1e8_10cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,10,,,[40 threads],,7:31:55,10,CPU,,8,,,Xeon Phi 5110P,,,7.53,3.8,0.040,0.509,,0.242,0.021,0.255,0.964,1.382,0.5,0.4,0.6,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.0,0.1,0.0
Loïc,geant4_em_1e8_15cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,15,,,[60 threads],,4:59:27,15,CPU,,8,,,Xeon Phi 5110P,,,4.99,3.8,0.059,0.494,,0.234,0.021,0.247,0.934,1.340,0.5,0.4,0.6,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.0,0.1,0.0
Loïc,geant4_em_1e8_30cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,30,,,[120 threads],,3:11:27,30,CPU,,8,,,Xeon Phi 5110P,,,3.19,3.8,0.115,0.615,,0.292,0.026,0.308,1.165,1.670,0.6,0.5,0.7,0.4,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.1,0.0,0.1,0.0
Loïc,geant4_em_1e8_60cores,Electro-magnetic simulations,GEANT4,Methods,,threads_comparison,60,,,[240 threads],,2:37:37,60,CPU,,8,,,Xeon Phi 5110P,,,2.63,3.8,0.228,1.000,,0.475,0.042,0.500,1.893,2.715,1.0,0.7,1.2,0.6,0.5,0.5,0.4,0.5,0.3,0.3,0.3,0.4,0.1,0.0,0.1,0.0
Loïc,geant4_DNA_1energy,Irradiation simulation,GEANT4-DNA,Methods,,,,,,"[1 run = 1 level of energy] Evaluation of the dammages to DNA due to radiations, using the GEANT4-DNA extension. It's not a real benchmark and we don't have very precise values, but it's a fairly good estimate I think. They look at the impact on the entire human genome (6.4e9 nucleotide pairs). 5,000 particles simulated for each energy level, 11 energy levels, split across 11 nodes. 24 threads per node, including multi-therading, so we can assume it's maybe 12 physical cores (and 24 logical cores). Computations lasted ~3 weeks. The choice of the CPU is unknown, so we're picking a standard value (with 12 cores to match the 24 cores setup). From [https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5607336/] ",,504:00:00,12,CPU,,10,,,Xeon E5-2680 v3,,,504.00,10.0,0.124,104.137,,49.465,4.339,52.068,197.072,282.657,100.0,77.4,121.8,64.9,51.2,49.6,40.9,48.8,34.4,34.1,28.9,40.9,14.6,4.9,10.9,1.5
Loïc,geant4_DNA_11energies,Irradiation simulation,GEANT4-DNA,Methods,,,,,,Same but with PSF=11 for the different energy levels,11,504:00:00,12,CPU,,10,,,Xeon E5-2680 v3,,,504.00,10.0,0.124,1145.505,,544.115,47.729,572.753,"2,167.789","3,109.229","1,100.4",851.0,"1,340.2",714.3,563.1,545.1,450.2,537.2,378.2,374.6,317.6,450.2,160.4,53.8,120.4,16.0
Jason,,"kilometre-scale global weather and climate simulations, considering the Icosahedral Non-hydrostatic (ICON) model",Icosahedral Non-hydrostatic (ICON) model,,Benchmark,,,,,"Global resolution of 5km for global weather and climate simulations of ICON. ICON uses a finite difference approximation of the non-hydrostatic equations of atmospheric motion, Earth is discretized via refinement of an initial globe- covering icosahedron. This refinement results in ca 21 million horizontal cells (triangles) to reach a global resolution of ca 5 km and a time step of 45 s. International project DYnamics of the Atmospheric general circulation Modeled On Non-hydrostatic Domains (DYAMOND), ICOsahedral Non-hydrostatic (ICON) model; 

Each dual-socket node of the partition features two Broadwell CPUs with 18 compute cores and a minimum of 64 GB main memory.

""Since the ICON-DYAMOND 5 km configuration needs to be executed on at least 100 nodes due to memory requirements"" - assumming that all 6400GB memory was needed

So the 100 node estimation would have 1800 cores and perhaps 6400 Gb memory. Note that ""hyperthreading was enabled and 6 OpenMP threads per MPI process were employed"" however, our calculations ignore hyperthreading.

estimated from figure 5 in (6400 + (12800-6400)*0.25) http://dx.doi.org/10.1098/rsta.2018.0148",,2:13:20,1800,CPU,Available? ,6400,,,Xeon E5-2695 v4,,,2.22,6.7,14.384,53.381,,25.356,2.224,26.690,101.019,144.890,51.3,39.7,62.5,33.3,26.2,25.4,21.0,25.0,17.6,17.5,14.8,21.0,7.5,2.5,5.6,0.7
Loïc,weather_ICON_1FD,Weather forecast,ICON,Methods,Benchmark,1FD,,,,"[1 FD]  ICON is run by the german DWD to make predictions at 13km and takes 8min per forecast day (FD). That's 365/8=180 FD/day (in line with the 200-300 FD/day given by Neumann et al.). Based on Neumann et al., for a 10km simulation, ICON achieves 78 FD/day with 250 broadwell cores (36 cores each, 64GB memory per node). So to achieve 180 FD/day, it needs 575 nodes. The location of the DMRZ (HPC of DWD) is Germany (we use the hardware frorm the benchmark, but the location form the real application....which happen to be the same CPUs, they are all equiped with the Cray XC40 setup). Benchmark from [https://royalsocietypublishing.org/doi/10.1098/rsta.2018.0148] and specs of the HPC used for the benchmark [https://www.dkrz.de/systems/hpc/hlre-3-mistral]",,0:08:00,20700,CPU,requested,36800,,,Xeon E5-2695 v4,,,0.13,6.7,151.708,33.780,Germany,15.843,1.390,16.677,63.119,90.531,32.4,25.1,39.5,21.1,16.6,16.1,13.3,15.8,11.2,11.0,9.4,13.3,4.7,1.6,3.6,0.5
Loïc,weather_ICON_180FD,Weather forecast,ICON,Methods,Benchmark,180FD,,,,"Same, scaled to 180 FD (PSF = 180)",180,.,.,.,.,.,,,.,.,,24.00,1200.00,27307.44,6080.46,Germany,"2,851.734",250.152,"3,001.825","11,361.491","16,295.624","5,840.9","4,517.2","7,114.1","3,791.8","2,989.2","2,893.7","2,389.6","2,851.7","2,007.8","1,988.3","1,686.1","2,389.6",851.3,285.8,639.1,85.1
